2016-Jan-25 01:55:08 INFO  clientLogger:23 - Attempting to connect to 127.0.0.1:3001
@2016-Jan-25 10:11:49 INFO  clientLogger:269 - Player 49221 broadcasted: select fred joe thrust 2 duck 2
@2016-Jan-25 10:11:49 INFO  clientLogger:269 - 
@2016-Jan-25 10:11:49 INFO  clientLogger:269 - Player 49220 broadcasted: select joe fred thrust 3 duck 1
@2016-Jan-25 10:11:49 INFO  clientLogger:269 - 
@2016-Jan-25 10:11:49 INFO  clientLogger:157 - Message from the server: RESOLVE ROLL
@2016-Jan-25 10:11:57 INFO  clientLogger:167 - Client sends this message to the server: roll joe 2
@2016-Jan-25 10:11:57 INFO  clientLogger:269 - Player 49220 broadcasted: roll joe 2
@2016-Jan-25 10:11:57 INFO  clientLogger:231 - Message from server: Wait to receive rolls and process it from other players
@2016-Jan-25 10:12:01 INFO  clientLogger:167 - Client sends this message to the server: roll fred 2
@2016-Jan-25 10:12:01 INFO  clientLogger:269 - Player 49221 broadcasted: roll fred 2
@2016-Jan-25 10:12:01 INFO  clientLogger:269 - Player 49220 broadcasted: roll joe 2
@2016-Jan-25 10:12:01 INFO  clientLogger:269 - Player 49221 broadcasted: roll fred 2
@2016-Jan-25 10:12:01 INFO  clientLogger:220 - Message from server: OUTCOME [fred got 0 hit, joe got 0 hit]
@2016-Jan-25 10:12:01 INFO  clientLogger:227 - For this round the total casualty was: [fred got 0 hit, joe got 0 hit]
@2016-Jan-25 10:12:01 INFO  clientLogger:269 - 
@2016-Jan-25 10:12:01 INFO  clientLogger:240 - Message from server: There is still more rounds to play 3
@2016-Jan-25 10:12:01 INFO  clientLogger:220 - Message from server: OUTCOME [fred got 0 hit, joe got 0 hit]
@2016-Jan-25 10:12:01 INFO  clientLogger:227 - For this round the total casualty was: [fred got 0 hit, joe got 0 hit]
@2016-Jan-25 10:12:01 INFO  clientLogger:269 - 
@2016-Jan-25 10:12:01 INFO  clientLogger:240 - Message from server: There is still more rounds to play 3
@2016-Jan-25 10:13:08 INFO  clientLogger:253 - Client sent this message to the server server: There is still more rounds to play 3
@2016-Jan-25 10:13:08 INFO  clientLogger:269 - Player 49221 broadcasted: select fred joe thrust 3 charge 1
@2016-Jan-25 10:13:08 INFO  clientLogger:149 - Message from the server: WAITING FOR OTHER PLAYERS SELECT MESSAGES
@2016-Jan-25 10:13:08 INFO  clientLogger:269 - 
@2016-Jan-25 10:13:28 INFO  clientLogger:253 - Client sent this message to the server server: There is still more rounds to play 3
@2016-Jan-25 10:13:28 INFO  clientLogger:269 - Player 49221 broadcasted: select fred joe thrust 3 charge 1
@2016-Jan-25 10:13:28 INFO  clientLogger:269 - 
@2016-Jan-25 10:13:28 INFO  clientLogger:269 - Player 49220 broadcasted: select joe fred thrust 3 charge 1
@2016-Jan-25 10:13:28 INFO  clientLogger:269 - 
@2016-Jan-25 10:13:28 INFO  clientLogger:269 - Player 49220 broadcasted: select joe fred thrust 3 charge 1
@2016-Jan-25 10:13:28 INFO  clientLogger:157 - Message from the server: RESOLVE ROLL
@2016-Jan-25 10:13:28 INFO  clientLogger:157 - Message from the server: RESOLVE ROLL
@2016-Jan-25 10:13:32 INFO  clientLogger:167 - Client sends this message to the server: roll joe 2
@2016-Jan-25 10:13:32 INFO  clientLogger:269 - Player 49220 broadcasted: roll joe 2
@2016-Jan-25 10:13:32 INFO  clientLogger:231 - Message from server: Wait to receive rolls and process it from other players
@2016-Jan-25 10:13:36 INFO  clientLogger:167 - Client sends this message to the server: roll fred 1
@2016-Jan-25 10:13:36 INFO  clientLogger:269 - Player 49220 broadcasted: roll joe 2
@2016-Jan-25 10:13:36 INFO  clientLogger:269 - Player 49221 broadcasted: roll fred 1
@2016-Jan-25 10:13:36 INFO  clientLogger:269 - Player 49221 broadcasted: roll fred 1
@2016-Jan-25 10:13:36 INFO  clientLogger:220 - Message from server: OUTCOME [fred got 1 hit, joe got 1 hit]
@2016-Jan-25 10:13:36 INFO  clientLogger:227 - For this round the total casualty was: [fred got 1 hit, joe got 1 hit]
@2016-Jan-25 10:13:36 INFO  clientLogger:269 - 
@2016-Jan-25 10:13:36 INFO  clientLogger:240 - Message from server: There is still more rounds to play 4
@2016-Jan-25 10:13:36 INFO  clientLogger:220 - Message from server: OUTCOME [fred got 1 hit, joe got 1 hit]
@2016-Jan-25 10:13:36 INFO  clientLogger:227 - For this round the total casualty was: [fred got 1 hit, joe got 1 hit]
@2016-Jan-25 10:13:36 INFO  clientLogger:269 - 
@2016-Jan-25 10:13:36 INFO  clientLogger:240 - Message from server: There is still more rounds to play 4
@2016-Jan-25 10:14:32 INFO  clientLogger:253 - Client sent this message to the server server: There is still more rounds to play 4
@2016-Jan-25 10:14:32 INFO  clientLogger:269 - Player 49221 broadcasted: select fred joe thrust 3 duck 1
@2016-Jan-25 10:14:32 INFO  clientLogger:149 - Message from the server: WAITING FOR OTHER PLAYERS SELECT MESSAGES
@2016-Jan-25 10:14:32 INFO  clientLogger:269 - 
@2016-Jan-25 10:14:50 INFO  clientLogger:253 - Client sent this message to the server server: There is still more rounds to play 4
@2016-Jan-25 10:14:50 INFO  clientLogger:269 - Player 49221 broadcasted: select fred joe thrust 3 duck 1
@2016-Jan-25 10:14:50 INFO  clientLogger:269 - 
@2016-Jan-25 10:14:50 INFO  clientLogger:269 - Player 49220 broadcasted: select joe fred thrust 3 charge 1
@2016-Jan-25 10:14:50 INFO  clientLogger:269 - 
@2016-Jan-25 10:14:50 INFO  clientLogger:269 - Player 49220 broadcasted: select joe fred thrust 3 charge 1
@2016-Jan-25 10:14:50 INFO  clientLogger:157 - Message from the server: RESOLVE ROLL
@2016-Jan-25 10:14:50 INFO  clientLogger:157 - Message from the server: RESOLVE ROLL
@2016-Jan-25 10:14:56 INFO  clientLogger:167 - Client sends this message to the server: roll joe 3
@2016-Jan-25 10:14:56 INFO  clientLogger:269 - Player 49220 broadcasted: roll joe 3
@2016-Jan-25 10:14:56 INFO  clientLogger:231 - Message from server: Wait to receive rolls and process it from other players
@2016-Jan-25 10:15:00 INFO  clientLogger:167 - Client sends this message to the server: roll fred 6
@2016-Jan-25 10:15:00 INFO  clientLogger:269 - Player 49220 broadcasted: roll joe 3
@2016-Jan-25 10:15:00 INFO  clientLogger:269 - Player 49221 broadcasted: roll fred 6
@2016-Jan-25 10:15:00 INFO  clientLogger:269 - Player 49221 broadcasted: roll fred 6
@2016-Jan-25 10:15:00 INFO  clientLogger:220 - Message from server: OUTCOME [fred got 1 hit, joe got 0 hit]
@2016-Jan-25 10:15:00 INFO  clientLogger:220 - Message from server: OUTCOME [fred got 1 hit, joe got 0 hit]
@2016-Jan-25 10:15:00 INFO  clientLogger:227 - For this round the total casualty was: [fred got 1 hit, joe got 0 hit]
@2016-Jan-25 10:15:00 INFO  clientLogger:269 - 
@2016-Jan-25 10:15:00 INFO  clientLogger:227 - For this round the total casualty was: [fred got 1 hit, joe got 0 hit]
@2016-Jan-25 10:15:00 INFO  clientLogger:240 - Message from server: There is still more rounds to play 5
@2016-Jan-25 10:15:00 INFO  clientLogger:269 - 
@2016-Jan-25 10:15:00 INFO  clientLogger:240 - Message from server: There is still more rounds to play 5
@2016-Jan-25 10:18:45 INFO  clientLogger:253 - Client sent this message to the server server: There is still more rounds to play 5
@2016-Jan-25 10:18:45 INFO  clientLogger:269 - Player 49221 broadcasted: select fred joe swing 3 duck 1
@2016-Jan-25 10:18:45 INFO  clientLogger:149 - Message from the server: WAITING FOR OTHER PLAYERS SELECT MESSAGES
@2016-Jan-25 10:18:45 INFO  clientLogger:269 - 
@2016-Jan-25 10:19:00 INFO  clientLogger:253 - Client sent this message to the server server: There is still more rounds to play 5
@2016-Jan-25 10:19:00 INFO  clientLogger:269 - Player 49221 broadcasted: select fred joe swing 3 duck 1
@2016-Jan-25 10:19:00 INFO  clientLogger:269 - 
@2016-Jan-25 10:19:00 INFO  clientLogger:269 - Player 49220 broadcasted: select joe fred smash 3 dodge 1
@2016-Jan-25 10:19:00 INFO  clientLogger:269 - 
@2016-Jan-25 10:19:00 INFO  clientLogger:269 - Player 49220 broadcasted: select joe fred smash 3 dodge 1
@2016-Jan-25 10:19:00 INFO  clientLogger:157 - Message from the server: RESOLVE ROLL
@2016-Jan-25 10:19:00 INFO  clientLogger:157 - Message from the server: RESOLVE ROLL
@2016-Jan-25 10:19:05 INFO  clientLogger:167 - Client sends this message to the server: roll fred 1
@2016-Jan-25 10:19:05 INFO  clientLogger:269 - Player 49221 broadcasted: roll fred 1
@2016-Jan-25 10:19:05 INFO  clientLogger:231 - Message from server: Wait to receive rolls and process it from other players
@2016-Jan-25 10:19:09 INFO  clientLogger:167 - Client sends this message to the server: roll joe 1
@2016-Jan-25 10:19:09 INFO  clientLogger:269 - Player 49221 broadcasted: roll fred 1
@2016-Jan-25 10:19:09 INFO  clientLogger:269 - Player 49220 broadcasted: roll joe 1
@2016-Jan-25 10:19:09 INFO  clientLogger:269 - Player 49220 broadcasted: roll joe 1
@2016-Jan-25 10:19:09 INFO  clientLogger:220 - Message from server: OUTCOME [fred got 1 hit, joe got 1 hit]
